firstname, lastname, dob
Eugenia,Clayton,9/8/1979
Edgar,Warren,7/30/1993
Dora,Jordan,10/1/2001
Antonio,Holmes,7/11/1980
Phillip,Foster,3/17/1960
Edgar,Herrera,8/12/1986
Leon,Schultz,12/21/1981
Justin,Drake,2/8/1960
Jayden,Holloway,9/19/1957
Bradley,Campbell,5/20/1987
Roy,Craig,11/8/2003
Lina,Freeman,1/27/2000
Lawrence,Collins,4/16/1973
Loretta,Payne,4/21/1977
Elva,Griffin,2/8/1988
Leon,Fuller,9/3/1982
Isabella,Luna,5/7/1995
Minerva,Aguilar,2/21/1987
Adele,Schwartz,11/24/1991
Winifred,Goodwin,7/7/1997
Cora,Lyons,1/16/1966
Addie,Bailey,6/3/1983
Alice,Stewart,9/2/1959
Sallie,Houston,3/23/1957
Lillie,Robinson,1/21/1994
Ann,McCoy,1/29/1974
Noah,Turner,2/15/1993
Lula,Luna,5/30/1996
Birdie,Rowe,5/30/1997
Addie,Hines,11/3/1987
Ian,Summers,9/29/1975
Leah,Massey,6/15/1980
Madge,Ramsey,3/18/1981
Verna,Bush,5/3/1993
Elmer,Hansen,4/5/1982
Jacob,Larson,10/20/2003
Ida,Wolfe,3/13/1982
Manuel,Munoz,8/8/1990
Shane,Griffith,2/13/1963
Betty,Nunez,8/23/1978
Austin,Reynolds,8/2/1992
Jerome,Russell,1/25/1964
Adele,Tyler,4/14/1982
Christine,Luna,5/27/1999
Leona,Graves,10/15/1977
Brandon,Sutton,6/16/1969
Patrick,Rivera,1/18/1957
Nathaniel,Rios,8/24/1961
Jeremy,Goodman,6/17/1973
Polly,Mason,11/10/2000
Bruce,Kelley,11/17/1977
Esther,Payne,7/16/1991
Mabelle,Banks,1/11/1988
Rosie,Murray,4/8/1958
Francisco,Lewis,8/1/1974
Olga,Robbins,6/12/1963
Francis,Drake,10/30/1977
Maud,Gilbert,6/19/2002
Harvey,Horton,4/7/1978
Zachary,Rogers,6/21/1979
Bobby,Williamson,6/5/1993
Cecilia,Gomez,10/12/1991
Edgar,Palmer,5/11/1981
Esther,Daniel,2/26/1997
Jason,Ramirez,5/1/1958
Bernice,Cain,2/27/1960
Lucinda,Meyer,6/6/1984
Maria,Hawkins,4/5/1978
Sophie,Baldwin,5/31/1967
Hattie,Underwood,8/28/1999
Blake,West,2/2/1964
Brian,Wood,10/14/1996
Ronnie,Greer,12/8/1977
Francis,Rowe,4/10/1999
Elizabeth,Byrd,1/14/1996
Allie,Porter,1/4/1962
Ronald,Rodriguez,11/17/1981
Irene,Stevenson,9/16/1976
Manuel,Ward,6/27/1998
Lucinda,Sanchez,8/21/1995
Nell,Garcia,1/19/1990
Jackson,Hansen,10/6/2003
Caroline,Armstrong,12/26/1981
Clarence,Moss,7/9/1997
Susan,Willis,7/12/1980
Rachel,Briggs,4/19/2004
Charlotte,Leonard,1/20/1982
Lou,Keller,4/28/1986
Brian,Johnson,2/5/1957
Della,Hines,6/30/1968
Elnora,Murray,12/20/1997
Logan,Chapman,6/13/1959
Rodney,Crawford,5/13/1977
Beatrice,Allison,4/11/1988
Ricardo,Baldwin,2/3/1972
Herman,Ortega,7/28/1999
Todd,Goodwin,2/1/1987
Charles,Dixon,10/30/1964
Derrick,Underwood,4/8/1990
Isaiah,Gonzales,9/21/1974
Lily,Grant,11/3/1991
Elizabeth,Walker,9/22/1958
Tyler,Schwartz,8/1/1960
Jeffrey,West,8/5/1996
Mario,Hawkins,5/14/1995
Brent,Robinson,11/16/1958
Peter,Young,1/28/1996
Jesse,Sherman,12/17/1984
Michael,Sharp,12/31/1979
Jesse,Copeland,2/12/1987
Leah,Fitzgerald,10/3/1965
Sean,Hart,11/17/1987
Dollie,Austin,11/16/1986
Norman,Thomas,5/16/1997
Ruth,Lee,10/22/1974
Eva,Campbell,5/18/1981
Willie,Ortega,2/27/1983
Josie,Roy,2/19/1997
Miguel,Tucker,9/12/1990
Dylan,Evans,6/30/1957
Catherine,Quinn,2/7/1997
Amy,Brooks,7/7/1977
Mollie,Jackson,1/14/2003
Dorothy,Sherman,9/7/1967
Dale,Flores,7/18/1962
Allen,Freeman,6/19/1979
Marc,Montgomery,5/11/2003
Evelyn,Scott,4/19/1959
Luke,Cohen,7/21/1992
Glen,Miller,5/10/1959
Mike,Arnold,7/11/1975
Susan,Hale,4/23/2000
Carolyn,Cox,8/12/1988
Mamie,Richardson,10/11/2002
Steve,McLaughlin,5/12/1967
Trevor,Caldwell,4/24/1964
Marvin,Lopez,6/1/1981
Jeanette,Munoz,7/31/1971
Hettie,Barnes,9/24/1969
Nina,Moody,6/27/1985
Leonard,Ward,11/27/1957
Sarah,Gross,7/25/1968
Leonard,Gardner,8/6/1987
Richard,McBride,11/20/1985
Timothy,Howell,3/30/1976
Elizabeth,Carlson,7/7/1959
Louise,Murphy,10/21/1964
Violet,Munoz,8/9/1996
Edith,Love,6/22/1997
Willie,Lane,7/28/1976
George,Wright,3/21/1969
Olive,Carroll,4/7/1958
Minerva,Padilla,1/20/1974
Elsie,Ward,4/5/1968
Harold,Higgins,7/9/1970
Amy,Moss,5/3/1968
Patrick,King,6/15/1997
Lida,Paul,7/12/1967
Charlotte,Chambers,12/9/1974
Chris,Mathis,3/12/1960
Jay,Peters,7/24/1991
Mark,Morgan,10/3/1997
Martin,Floyd,12/28/1984
Olivia,Gross,4/13/1957
Howard,Hansen,10/12/1972
Milton,Carr,2/9/1980
Janie,Fowler,6/30/1997
Samuel,Lee,10/26/1959
Emily,Fletcher,3/17/2004
Glen,Stone,8/5/2004
Ella,Barnes,4/28/1992
Paul,Flores,3/29/1958
Jessie,Patton,7/22/1988
Marian,McBride,7/5/2000
Lawrence,Erickson,9/2/1996
Randall,McCoy,6/7/1992
Pearl,Christensen,9/3/1984
Alta,Thomas,5/8/1968
Ada,Castro,3/13/1990
Gilbert,Pierce,2/13/2001
Albert,Lane,6/25/1972
Dollie,Gibson,12/31/1994
Jean,Stevens,10/29/1977
Nina,Patton,12/23/1972
Mina,Norman,7/3/1972
Rosa,Wolfe,2/21/1996
Georgie,Edwards,5/6/1997
Sean,Hernandez,1/22/1995
Pearl,Palmer,8/9/1960
Bradley,Murphy,4/22/1997
Christian,Frazier,3/27/1977
Floyd,Pittman,12/22/1957
Maud,Reyes,2/14/1999
Aaron,Goodman,7/11/1971
Donald,Silva,8/19/1965
Christopher,Owen,11/27/1976
Ola,Bryant,12/12/1972
Katharine,Higgins,2/15/1998
Della,Schmidt,1/28/1994
Violet,Barber,4/4/1970
Maud,Welch,6/12/1959
Jonathan,Parker,5/10/1992
Tommy,Reyes,12/26/1991
Lola,Sharp,10/6/1969
Mabelle,Romero,9/13/1957
Chase,Pearson,9/20/1984
Lester,Hogan,10/4/1994
Beulah,Gibbs,8/22/1969
Corey,Francis,4/29/2000
Maria,Wallace,12/3/1959
Alma,Gill,5/31/1959
Hunter,Fisher,11/27/1980
Isabelle,Jackson,5/7/1958
Alvin,Gray,12/29/1972
Corey,Johnston,1/13/1980
Marc,Townsend,6/30/1986
Jose,Castillo,7/24/1975
Sally,Burton,11/28/1968
Hulda,Cunningham,4/26/1963
Joel,Padilla,11/24/1972
Robert,Jones,10/20/1959
Dustin,Newton,4/10/1992
Dora,King,9/6/1958
Agnes,Watkins,6/9/1977
Billy,Quinn,5/12/1995
Leonard,Jensen,3/5/1969
Eddie,Roberson,10/28/1975
Joshua,Hanson,11/13/1987
Lucille,Jones,5/27/1990
Henry,Castillo,11/18/1960
Brandon,Burton,3/8/1999
Ada,Ramirez,2/14/1986
Patrick,Shaw,11/5/1966
Caroline,Roberts,10/31/1991
Michael,Bryant,7/12/2002
Susan,Graves,4/8/1997
Lucy,Newman,12/31/1991
Tyler,French,2/23/1997
Lois,Tyler,8/24/1982
Daniel,Torres,3/29/2003
Ruth,Roberts,10/28/1978
Daniel,Floyd,9/14/1983
Lucy,Carr,10/31/1966
Olga,Jensen,2/17/1965
Scott,Banks,2/20/2000
Dora,Blake,5/30/1967
Lena,Leonard,12/3/1983
Patrick,West,5/18/1977
Erik,Austin,5/29/1983
Carlos,Byrd,5/18/1974
Milton,Swanson,5/17/1978
Jesus,Lloyd,6/18/1982
Jeffrey,Dixon,1/26/1966
Leah,Gomez,10/7/1999
Elijah,Fernandez,4/26/1982
Teresa,Ward,12/3/1981
Jim,Gilbert,11/28/1966
Tommy,Guerrero,6/4/1977
Russell,Anderson,10/9/1994
Elmer,Lloyd,12/28/1996
Marvin,Gomez,1/3/1975
Minnie,Bates,1/26/1979
Viola,Walker,1/14/1994
Rodney,Mendez,10/13/1989
Robert,Hernandez,3/11/2003
Violet,Moreno,2/7/1996
Sylvia,Lowe,7/6/1974
Ivan,Gibbs,1/21/1987
Cynthia,Rowe,6/10/1958
Susie,Franklin,2/16/1994
Keith,Blake,8/15/1994
Louise,Fox,2/1/1993
Edith,Lane,4/25/1986
Tony,Wagner,7/8/1981
Olga,Guzman,4/6/1962
Rosa,Caldwell,2/12/1991
Carolyn,Gilbert,3/17/1983
Martha,Beck,5/4/1961
Alan,Woods,7/4/1962
Alvin,Thornton,2/3/1972
Lura,Strickland,9/6/1975
Evan,Scott,11/9/1985
Gerald,Leonard,8/10/2002
Jack,Padilla,8/1/1969
Annie,Quinn,2/15/1975
Birdie,Barnett,8/11/1973
Teresa,Burke,12/26/1965
Nancy,Rowe,11/23/1989
Gavin,Rice,3/1/1965
Craig,Bishop,4/19/1978
Daisy,Wallace,11/27/1983
Eula,Maxwell,2/21/1991
Troy,Fitzgerald,6/29/1963
Donald,Padilla,7/24/1957
Victor,Garcia,11/27/1991
Luis,Dixon,1/18/1966
Blake,Robertson,1/12/1999
Chris,Jones,8/14/1975
Victor,Wright,1/28/1966
Olive,Anderson,10/7/1997
Glenn,Schneider,4/19/1989
Cynthia,Fields,3/9/1959
Connor,Lee,6/29/1986
Alice,Andrews,10/24/1996
Luke,Goodman,5/4/1996
Calvin,Mullins,10/8/1992
Carolyn,Lewis,6/25/1983
Eugene,Rowe,12/16/1978
Mayme,Wright,7/17/1969
Abbie,Craig,5/11/1981
Albert,Montgomery,9/4/1977
Dylan,Little,2/8/1993
Maurice,Weaver,12/19/1993
Joel,Andrews,4/12/1973
Lucy,Lopez,1/31/1967
Edgar,Berry,7/1/2002
Hunter,Colon,1/3/1965
Elva,Mills,8/29/1990
Elizabeth,Woods,4/2/2000
Beatrice,Griffith,8/2/2001
Carl,Keller,10/4/1962
Allie,McGee,11/28/1987
Chris,Holt,6/23/1998
Alice,Pearson,5/29/1975
Lily,Austin,6/25/1986
Fannie,Martin,12/29/1986
Ola,Burton,7/8/1967
Lucy,Barnes,6/21/1974
Georgia,McKinney,8/11/1957
Viola,Figueroa,6/28/1964
Zachary,Reynolds,12/14/1965
Nettie,Williams,1/4/1958
Lou,Kim,6/9/1965
Betty,Neal,2/12/1960
Ethan,Price,11/21/2004
Lulu,Mack,5/7/1977
Larry,Burton,8/30/1982
Hilda,Caldwell,4/4/1978
Teresa,Aguilar,12/31/2003
Edith,Lopez,1/26/1971
Gregory,Lamb,12/13/1985
Michael,Graham,12/15/1977
Ophelia,Scott,5/27/2000
Maurice,Jimenez,12/4/1996
Jeremy,Parker,10/24/1994
Lucy,Nunez,11/19/2003
Julia,Barber,9/20/1992
Ryan,Carter,10/10/2003
Amelia,Stewart,9/14/1982
Shawn,Hicks,4/7/1992
Rosalie,Maxwell,9/20/1998
Emilie,Bowen,6/24/2004
Philip,Daniels,7/29/2002
Josie,Fernandez,7/6/1961
Randy,McDonald,5/11/1967
Dora,Bishop,12/2/1962
Ivan,Bass,10/18/1972
Samuel,Sanders,3/10/1974
Noah,Figueroa,2/9/1961
Carrie,Spencer,10/24/2002
Bobby,Bass,12/22/1999
Edna,Davis,3/2/1994
Tillie,Roy,4/30/2001
Alexander,Matthews,5/4/2002
Julia,Berry,3/19/1968
Willie,Joseph,11/19/1993
Antonio,Elliott,2/6/1991
Don,Harris,9/11/1957
Andre,Klein,4/29/1964
Amy,Conner,7/2/1986
Alta,Jensen,11/21/1968
Isaiah,Bennett,12/24/1966
Stanley,Austin,7/12/1970
Matthew,Martinez,2/18/2002
Jim,Nash,12/31/1957
Lura,Fox,7/20/1989
Birdie,Hart,1/18/1976
Jacob,Mendez,5/19/1972
Eleanor,Daniel,5/7/1962
Ernest,Francis,8/11/1970
Peter,Price,5/26/1998
Wayne,Dunn,10/2/1993
Gerald,Mitchell,7/15/2001
Elnora,Roy,6/21/1996
Edwin,Todd,4/11/1984
Cody,Guerrero,1/12/1985
Max,Dunn,12/3/1968
Eliza,Diaz,2/1/1958
Isaiah,Craig,1/21/1981
Mary,White,12/16/1987
Ella,Watts,10/3/1964
Jessie,Montgomery,3/13/1963
Harry,Huff,2/17/1973
Johnny,Martinez,8/1/1971
Sophia,Holloway,9/27/1973
Matthew,Gray,7/25/1957
Harry,Richards,10/2/1998
Hattie,Lane,9/30/1959
Jack,Buchanan,12/3/2001
Raymond,Russell,1/12/1978
Bill,Daniels,10/29/1979
Alfred,Atkins,1/24/1962
Nelle,Miller,7/2/1959
Alberta,Montgomery,6/10/2003
Stephen,Steele,9/4/1995
Mario,Phillips,12/26/1975
Ora,Duncan,10/25/1966
Maurice,Jenkins,9/18/1979
Darrell,Wilson,11/8/1985
Albert,Morales,8/26/1992
Lou,Goodman,2/9/1975
Hester,Salazar,2/7/1988
Susan,Peterson,2/3/1979
Katie,Little,10/6/1973
Nancy,Carr,5/23/1978
Fanny,Franklin,10/6/1974
Dylan,Ross,8/11/1989
Daisy,Perry,11/19/1968
Helen,Lane,10/2/1963
Norman,Carr,4/19/1973
Jackson,Ryan,6/12/1982
Augusta,Poole,6/11/1995
Bryan,Johnson,12/23/1991
Cora,Evans,12/26/1960
Cameron,Gonzales,10/1/1996
Ellen,Lloyd,2/20/1982
Joseph,Gordon,5/4/1981
Chase,Lane,9/25/1988
Francis,Watkins,8/23/1999
Chad,Potter,8/9/1984
Betty,Jacobs,7/26/1998
Vincent,Clayton,8/4/1958
Effie,Clayton,2/25/1998
Tony,Goodman,3/4/1991
Manuel,Davis,10/17/1986
Rodney,Jensen,5/16/1992
Barry,Gibson,3/18/1974
Adele,Wells,10/25/1999
Joe,Jones,1/6/1965
Cory,Watts,6/13/1984
Katharine,White,12/5/1959
Jeremy,Tucker,7/16/1983
Florence,Luna,4/14/1988
Lucile,McCarthy,9/27/1979
Mark,Carlson,12/24/2003
Georgia,Gardner,4/9/1973
Cory,Henry,9/20/1973
Donald,Jenkins,4/29/1958
Loretta,Figueroa,11/8/1961
Jimmy,Hubbard,6/2/1987
Eric,Carson,10/3/1975
Essie,Young,7/23/1979
Kenneth,Long,12/29/1972
Tom,Roberson,9/17/2003
Nannie,Owen,6/1/1968
Ruby,Burton,3/23/1991
Brian,McCormick,3/9/1970
Benjamin,Hayes,11/6/1994
Steve,Weber,11/13/1991
Iva,Delgado,8/3/1985
Bernice,Lloyd,2/19/1969
Jose,Klein,7/7/1976
Ernest,Simon,11/4/1962
Dustin,Johnston,11/10/2000
Ethan,Guerrero,6/16/1972
Rosetta,Richardson,7/27/1971
Cory,Douglas,9/26/1969
Lou,Love,2/2/1969
Leon,Newton,2/23/1960
Anthony,Wagner,12/28/1997
Genevieve,Lyons,10/7/1995
Sue,Butler,7/29/1970
Michael,Washington,7/15/2002
Elnora,Bishop,7/7/1976
Adelaide,Barrett,2/24/2003
Rosetta,Silva,1/16/1963
Violet,May,11/21/1978
Glenn,Norris,7/17/1997
Dean,Mitchell,12/1/2003
Lulu,Cobb,9/12/1988
Eula,Gonzalez,8/18/1983
Rose,Matthews,1/4/1977
Eddie,Becker,10/8/1966
Virginia,Arnold,12/25/1993
Adele,Owens,8/28/1971
Steve,Vargas,5/16/1962
Alberta,Park,6/29/1992
Victoria,Steele,12/3/1976
Madge,Sanders,12/5/1974
Cory,Oliver,5/25/1963
Nettie,Sandoval,10/8/1981
Jeffery,Greer,3/25/1991
Carlos,Maldonado,10/9/1980
Sue,Greer,8/23/1989
Allie,Parks,12/19/1998
Lawrence,Bradley,10/26/1984
Addie,Gill,3/15/1997
Lenora,Wilson,6/21/1959
Mathilda,Allen,9/15/1968
Leila,Chandler,2/6/2004
Sam,Sandoval,12/11/1999
Sadie,Stewart,5/6/1997
Frederick,Rodgers,10/13/1995
Lillian,Davidson,5/21/1957
Maria,Cruz,12/29/1991
Emily,May,10/9/1985
Curtis,Gibbs,5/11/1989
Derrick,Blair,11/4/2001
Aiden,Craig,2/10/1999
James,Hopkins,11/12/1973
Henrietta,Moss,12/22/1993
Florence,Caldwell,4/10/1957
Jay,Woods,6/9/1992
Chase,Roy,12/17/1985
Johanna,Bowman,2/24/1971
Paul,Marshall,3/22/1983
Eddie,Francis,12/5/1986
Alberta,Silva,12/28/1961
Lucinda,Thompson,3/1/1957
Jeremy,Snyder,7/27/1971
Eleanor,Gibson,8/29/1974
Eliza,Hanson,10/15/2002
Jesus,Foster,10/16/2000
Gussie,Estrada,2/2/1994
Kenneth,Duncan,5/23/1982
Albert,Curry,7/11/1980
Billy,Goodwin,6/4/1981
Allie,Chandler,1/6/1967
Abbie,Flores,8/23/1962
Jonathan,Perry,7/20/2004
Isabella,Kelly,11/24/1983
Joseph,Ruiz,5/26/1992
Bruce,Ruiz,3/21/1970
Randall,Lindsey,12/15/1961
Sue,Santos,1/12/1968
Albert,Quinn,1/11/1958
Francis,Burns,4/6/1983
Joshua,Ramsey,4/3/2000
Brandon,Lane,1/10/1979
Adrian,Lawson,6/29/1980
Dorothy,Waters,11/5/1990
Maude,Guerrero,12/5/1965
Ophelia,Carson,4/28/1970
Austin,Wilkins,11/13/1998
Theodore,Simmons,2/19/1987
Ruth,Simpson,9/23/1977
Kenneth,Price,1/27/1978
Timothy,Morton,8/3/1981
Mollie,Sullivan,7/14/1988
Rodney,Garner,11/3/1979
Charlotte,Anderson,11/14/1989
Carrie,Chambers,8/22/1990
Rena,Page,6/21/1959
Devin,Burton,3/18/1972
Chester,Dunn,3/31/1990
Ian,Collier,10/8/1973
Harvey,Rose,7/20/1958
Edith,Barnett,7/10/1970
Trevor,Lynch,10/9/1981
Isabelle,Berry,2/15/1994
Elizabeth,Hansen,12/3/1998
Henrietta,Barrett,1/28/1974
Angel,Lowe,7/25/1991
Elmer,Miller,11/10/1975
Grace,Mendez,8/13/1989
Frederick,Martinez,6/1/1961
Peter,Cole,10/6/1967
Pauline,Greene,4/9/1968
Jerome,Fields,12/15/2001
Clara,Strickland,7/26/1960
Alex,Kennedy,9/28/1977
Georgia,Butler,6/10/1964
Marcus,Simon,10/26/1979
Viola,Harper,1/13/1960
Sarah,Ortiz,9/10/1994
Austin,Reese,2/22/1969
Mario,Frazier,5/28/1959
Nora,Huff,12/22/1967
Bertha,Bowman,10/9/1991
Bobby,Hampton,4/12/1970
Celia,Ellis,1/27/1960
Edgar,Barber,5/13/1977
Ola,Hardy,10/16/1992
Shane,Chandler,11/28/1996
Phoebe,Doyle,6/5/2004
Rosetta,Fuller,7/21/1974
Mary,Collins,2/19/1992
Olga,Williamson,4/8/1966
Janie,Harrison,2/4/1969
Virgie,Collier,1/10/2000
Lula,Larson,10/14/1990
Hallie,Fisher,9/21/1980
Theresa,Miller,12/27/1977
Miguel,Pratt,1/1/2004
Garrett,Moss,7/9/1996
Jerry,Freeman,3/28/1988
Rosa,Robinson,9/5/1998
Austin,Jenkins,7/6/1978
Willie,Lopez,3/8/1998
Francis,Nash,7/17/1977
Antonio,Young,10/20/1989
Joshua,Singleton,3/20/1976
Samuel,Sutton,7/13/2001
Owen,Harper,9/26/2003
Ora,Kelley,12/9/1976
Wayne,Wright,1/31/2000
Maria,Thornton,5/11/1994
Jeff,Marshall,1/12/1978
Cornelia,Hill,3/5/2002
Gertrude,Carr,9/12/1959
Lucille,Perkins,2/19/1961
David,Maldonado,3/28/1983
Katie,Jones,9/19/1976
Josephine,Ortiz,4/24/1981
Vernon,Keller,6/30/2004
Amanda,Harper,11/8/1973
Mattie,Rhodes,1/23/1986
Daniel,McDaniel,2/16/2001
Ina,Erickson,12/26/1994
Bertie,Carson,9/20/1993
Raymond,Ortiz,6/27/1969
Leo,Maxwell,11/2/1992
Jerry,Gross,3/8/1996
Mollie,Sparks,9/12/1980
Marion,Willis,12/5/1969
Alma,Munoz,9/21/1975
Edith,Gonzalez,9/2/1982
Clyde,Ramirez,12/4/1964
Georgia,Norton,1/17/1973
Lola,Casey,4/9/1977
Esther,Singleton,3/7/1963
Milton,Davis,3/23/2004
Elsie,Mitchell,12/6/1962
Rosetta,Holmes,7/10/1974
Irene,Jimenez,4/4/1997
Marguerite,Briggs,12/13/1983
Edna,Osborne,10/2/1964
Phillip,Crawford,9/7/1993
Glenn,Flores,3/5/1985
Sara,Brady,11/8/1972
Timothy,Franklin,11/27/1990
Robert,King,9/7/1993
Maggie,Bradley,4/15/1969
Joshua,Stevenson,4/13/2001
Luella,Olson,8/14/1995
Alex,Terry,8/6/1996
Jessie,McGee,2/13/1957
Jared,Gray,1/16/1961
Douglas,Warren,1/9/1982
Mildred,Ryan,9/30/1985
Maud,Singleton,1/7/1992
Eleanor,Hunter,8/27/1962
Jorge,Campbell,5/26/1971
Glenn,Grant,6/10/1999
Adelaide,Payne,1/3/1958
Sadie,Williams,9/25/1968
Lucille,Becker,7/2/1996
Loretta,Bryan,6/20/1977
Julia,Rios,12/19/1981
Carl,Lindsey,5/20/1970
Matthew,Erickson,12/10/1984
Elsie,Moss,10/1/1978
Peter,Matthews,4/29/1998
Chester,Watts,9/17/1984
Theodore,Lane,1/16/1976
Joshua,Ramirez,12/24/1991
Cecilia,Sutton,10/1/2000
Louise,Gill,6/6/1964
Seth,Henderson,1/17/1978
Effie,Brady,10/12/1972
Jerome,Ellis,11/26/1978
Nathan,Weber,4/22/1972
Gussie,Aguilar,9/26/1999
Peter,Cobb,2/22/1976
Betty,Gordon,5/23/1983
Linnie,Ray,8/11/1960
Lou,Stevens,6/16/1980
Curtis,Daniel,9/13/1964
Lilly,Flores,5/15/1962
Harriet,Fuller,5/16/1970
Alexander,Schmidt,2/21/1992
Jimmy,Cummings,2/17/1959
Sallie,Brock,5/15/1959
Richard,Lawson,11/14/1983
Millie,Hines,6/21/1971
Charlotte,Stevens,2/20/1986
Terry,Rowe,5/5/1973
Ruth,Floyd,12/18/1976
Alvin,Rodgers,8/20/1965
Edgar,Frank,5/6/2001
Logan,Vaughn,3/24/1983
Tom,Joseph,3/23/1991
Ronald,Martin,10/13/1970
Raymond,Flowers,3/31/1959
Ruby,Baldwin,9/15/1994
Celia,Gardner,4/24/1980
Mina,Stephens,2/11/1993
Isaiah,Sanders,8/26/1961
Jeanette,Barnett,6/10/1983
Maude,Nelson,2/18/1976
Sophie,Barrett,8/7/1979
Rose,Dunn,8/10/1992
Isabella,Joseph,4/15/1974
Effie,Richards,11/2/1982
Marie,Turner,6/28/1970
Craig,Paul,7/17/1974
Leona,Dixon,3/17/1989
Ophelia,Martinez,1/11/1982
William,Ramsey,7/10/1975
Rebecca,Austin,11/9/1994
Melvin,Parks,6/23/1970
Alma,Frazier,5/15/2001
Phillip,Sanchez,11/14/1971
Caleb,Terry,12/10/1993
Helena,Pearson,3/20/1993
Carolyn,Carter,8/21/1977
Joseph,Chavez,9/12/2004
Frank,Chambers,1/28/1992
Emily,Hines,7/7/1977
Ethel,King,4/23/1981
Evan,Nunez,7/2/1984
Franklin,Weber,11/19/1989
Gordon,Pratt,3/19/1959
Jeffrey,Underwood,3/4/1963
Hulda,Wise,3/5/1995
Virginia,Rogers,12/31/1984
Bettie,Arnold,7/27/1978
Agnes,Larson,7/10/1966
Vincent,Lloyd,5/14/1960
Jacob,Hawkins,7/31/2001
Sue,Long,4/11/1962
Isaiah,Brock,8/31/2002
Isaiah,Johnston,2/1/1973
Louis,Johnson,5/1/2001
Rosalie,Colon,7/4/1982
Roxie,Nguyen,6/27/1958
Mae,Walters,4/11/1996
Susie,Harper,11/5/1967
Julian,Lawrence,10/9/1975
Gussie,Simon,7/30/1993
Troy,McBride,9/6/1980
Betty,Saunders,2/22/1957
Walter,Moody,12/11/1993
Nellie,Garza,1/4/1960
Sylvia,Palmer,8/23/1972
Ruth,Fernandez,12/23/1966
Ethel,Sullivan,2/7/1974
Lizzie,Park,11/30/1983
Roxie,Valdez,4/15/1961
Michael,Conner,9/22/1960
Henry,Perez,11/30/2003
Derek,Cox,3/14/2001
Owen,Hunt,5/30/1986
Ollie,Saunders,12/3/1996
Owen,Byrd,7/28/1959
Ada,Peterson,12/26/1997
Sylvia,Green,11/28/1987
Charlotte,Aguilar,6/3/1978
Ruth,Green,3/21/1986
Vera,Fowler,2/25/1997
Tom,Fleming,12/30/2004
Travis,Chambers,2/11/2002
Francisco,Wallace,11/15/1985
Phillip,Summers,11/28/1985
Anne,Frazier,5/17/1962
Leona,Lynch,3/20/1988
Randy,Rowe,12/22/1967
Alberta,Ellis,7/3/1993
Ada,Howard,10/1/1979
Frederick,Stevens,12/14/1992
Bruce,Patterson,5/6/2004
Clarence,Miller,11/16/1997
Ivan,Mason,11/26/1963
Adam,Armstrong,10/8/1987
Glenn,Nunez,11/20/1990
Harold,Schultz,1/9/2000
Jim,Cunningham,3/26/1964
Aaron,Alvarado,2/8/1997
Micheal,Wise,11/13/1963
Jeff,Medina,2/17/2003
Amy,Lane,5/4/1961
Marc,Copeland,6/19/1994
Charles,Clark,7/16/1961
Millie,Daniels,3/8/1974
Adelaide,Anderson,7/29/1969
Bess,Long,7/31/1981
Katie,Gardner,4/6/2003
Lena,Norman,6/11/1960
Lou,Pearson,12/13/1972
Leah,Drake,3/29/1970
Mollie,Miller,5/19/1969
Nancy,Willis,10/22/1971
Daisy,Malone,12/16/1970
Allie,Miller,5/6/1973
Katharine,Francis,7/5/1970
Inez,Hill,12/29/1968
Ruth,Payne,10/25/1963
Leon,Martinez,4/13/1971
Harriett,Webb,5/14/2002
Barbara,Bailey,7/13/1970
Belle,Patrick,5/23/1991
John,Greer,5/31/1991
Chester,Austin,10/31/2000
Beatrice,Watson,9/28/1997
James,Watson,8/3/1964
Randy,Owens,1/28/1963
Sylvia,Ellis,7/18/1996
Lee,Butler,5/27/1988
Phillip,Baker,10/24/1971
Walter,Guzman,7/6/1980
Bertie,Hart,1/25/1968
Matthew,Ballard,10/12/1971
Brent,Klein,2/21/2002
Eva,Farmer,2/10/1975
Austin,Powers,2/20/1983
Nellie,Osborne,6/12/1988
Nancy,Burton,9/26/1968
Betty,Jimenez,8/11/2004
Jeanette,Alvarado,3/24/2001
Elizabeth,Munoz,4/30/1999
Carl,Christensen,6/12/1987
Sue,Jacobs,4/26/1957
Tommy,Wise,3/23/1983
Alan,Bowman,1/3/1990
Theodore,Stewart,2/17/1971
Manuel,Page,7/12/1972
Margaret,Ryan,1/6/1961
Bernard,Cook,6/18/1989
Bruce,Frank,12/4/1997
Clara,Curry,9/21/1978
Glenn,Luna,1/23/1979
Lola,Cunningham,10/21/1978
Jesse,Leonard,3/26/1985
